Price,Close,High,Low,Open,Volume
Ticker,MC.PA,MC.PA,MC.PA,MC.PA,MC.PA
Date,,,,,
2020-02-27,335.4074401855469,342.3450225240929,328.8779346459711,340.0778369444631,1797670
2020-02-28,336.3143310546875,338.5815167464737,320.2626452865985,322.62052394117745,2347024
2020-03-02,341.0754089355469,349.1465841775164,327.472295266293,349.1465841775164,1693434
2020-03-03,342.2090148925781,352.59270878712897,340.98472908017425,349.14659759539114,1361667
2020-03-04,349.3279113769531,350.96027367263196,339.9417589877974,343.0251253660802,918251
2020-03-05,339.66973876953125,351.86720848440035,338.9895830830279,351.86720848440035,911965
2020-03-06,326.7921447753906,335.7701944046337,322.80190357079437,331.00910454474354,1519151
2020-03-09,306.52349853515625,312.10076967456524,300.22071138556674,309.01740273921445,2442726
2020-03-10,303.6214599609375,324.6156190619093,301.8077116274179,310.42301621163597,1610721
2020-03-11,299.40447998046875,308.60924660340766,299.0870685088637,305.79795902073766,1572252
2020-03-12,273.4225158691406,287.75111425406675,267.52783476416744,278.5010158946988,3098476
2020-03-13,285.5746765136719,306.8408873109512,280.7682543833463,287.0710133900484,2334042
2020-03-16,269.88580322265625,277.2768233970555,252.74588410625094,264.80730149448965,2802823
2020-03-17,282.2646179199219,286.57227072351907,269.5230454342612,278.41040225354544,1972486
2020-03-18,261.1344909667969,276.3699696074822,258.595226076276,268.5255116902507,1603134
2020-03-19,267.4825744628906,271.1554041512182,255.87456731192296,264.17246126838586,1327016
2020-03-20,282.0378723144531,293.01105551839987,278.6824267504383,286.1641387973651,1996468
2020-03-23,282.400634765625,289.1114986531934,272.062273892819,272.062273892819,1218819
2020-03-24,307.5664367675781,310.15103425482357,290.3811840772452,293.87262825804737,1460277
2020-03-25,329.64874267578125,329.64874267578125,307.1129152548475,316.77111909936144,1331999
2020-03-26,329.8301696777344,329.8301696777344,309.3801391141668,317.85941872951895,1251959
2020-03-27,309.83355712890625,322.75651415499254,304.52833765676064,318.6755803572811,1072791
2020-03-30,317.406005859375,317.406005859375,302.0344753625138,316.13638737105896,711278
2020-03-31,306.9316101074219,322.8019099542253,304.52837113299205,321.9403683208705,1010235
2020-04-01,294.4167175292969,301.58101851568784,291.1973250360748,297.4547517792364,1043341
2020-04-02,295.0514831542969,297.6814124127702,286.6628980368007,295.7769713374619,697471
2020-04-03,294.77947998046875,298.3163118889834,290.2451084829959,293.4191685312269,507455
2020-04-06,308.1104736328125,314.32256671579074,303.25869169170096,305.1631328254346,770040
2020-04-07,312.4181213378906,321.44152952659823,310.74039875059316,317.40592879030976,814971
2020-04-08,311.2392578125,317.40599172433025,308.0651978952567,316.90722195043446,466780
2020-04-09,315.048095703125,318.4488739980111,307.33966490138323,318.31284840133657,697149
2020-04-14,319.2197265625,322.03104218950665,316.04566678133875,318.4942382541908,634000
2020-04-15,310.1510009765625,319.26507633852594,306.4781712457668,319.21974369517545,743853
