Price,Close,High,Low,Open,Volume
Ticker,KER.PA,KER.PA,KER.PA,KER.PA,KER.PA
Date,,,,,
2020-01-02,514.5966796875,514.5966796875,508.7450891520865,510.0358834991287,178651
2020-01-03,517.09228515625,517.09228515625,509.86381512270106,512.0151392371429,159019
2020-01-06,508.40093994140625,514.9409972223606,502.549348443495,512.6175565110027,176511
2020-01-07,513.1337890625,517.5225215282265,510.6382847404752,510.7243166912987,201861
2020-01-08,513.9943237304688,513.9943237304688,495.92320198438705,503.4098200694184,201239
2020-01-09,512.7896728515625,517.0062368977289,508.6590882444113,514.5967642252673,201628
2020-01-10,509.5195007324219,514.5106138973995,509.0032040365877,513.7361163310953,195795
2020-01-13,510.982421875,514.7687727972412,509.00321447032775,509.1753308799849,161677
2020-01-14,512.5406494140625,514.0988291698229,505.78873086369646,510.7228434776496,215629
2020-01-15,514.7047119140625,517.0419286349596,512.3675480271443,514.8778488626435,230443
2020-01-16,523.7937622070312,526.5637944341955,513.8389968650761,514.3584076267775,220989
2020-01-17,528.2086181640625,532.2770988319846,524.4864114042964,530.9786509273699,238491
2020-01-20,518.513427734375,531.1516303819587,518.513427734375,529.5069617272568,143421
2020-01-21,507.7795715332031,508.0393033295302,496.69949552288335,506.3945818446519,295243
2020-01-22,512.627197265625,516.6956775681251,510.2034386281704,512.4540603270977,233962
2020-01-23,496.353271484375,508.55865814629834,494.1891920880078,508.1258422670249,324990
2020-01-24,496.26678466796875,504.74996718210866,494.36238381769704,501.8068502625807,239734
2020-01-27,478.3481140136719,484.49413152575556,469.3455749476212,474.01995499134773,493104
2020-01-28,486.31201171875,486.31201171875,472.28876377027746,480.42572511299056,303338
2020-01-29,491.6788330078125,494.1025913361276,481.2047099875365,484.66723698054926,285796
2020-01-30,485.7926025390625,489.08199298704767,480.59881146309385,482.07039616808,279382
2020-01-31,480.42578125,490.81336570945945,478.6079751031893,487.95679054990546,288585
2020-02-03,479.6466979980469,482.8495471513578,476.09762772496487,480.42578797701,249840
2020-02-04,492.54443359375,493.23692838174594,479.81963713270704,480.4255898849407,227761
2020-02-05,496.5263671875,501.9798896611321,488.4760022114313,492.28480317175047,264705
2020-02-06,495.1414489746094,501.7202303099114,491.50578441184626,500.0755613930752,204028
2020-02-07,489.6880187988281,494.6221316228681,485.1001798983633,489.94769782451806,241366
2020-02-10,486.91790771484375,489.51480322265627,483.88819628906253,486.485091796875,182976
2020-02-11,487.09100341796875,494.5354154432934,485.100060930635,490.12071458729366,180605
2020-02-12,517.6478271484375,517.6478271484375,494.1026311327507,501.2008226069319,474916
2020-02-13,516.2627563476562,517.214930064398,498.17103305784275,514.1852191769915,330664
2020-02-14,501.54718017578125,515.5703757002481,500.2487322321097,515.0510176563722,230574
2020-02-17,502.0666198730469,504.75005825946175,497.8250014336266,500.3353556665881,139129
2020-02-18,493.1504821777344,498.08459435622404,493.06388729117873,494.3623350837299,214247
2020-02-19,508.12591552734375,508.12591552734375,491.6789097436648,497.5651959836597,223443
2020-02-20,490.38043212890625,506.91397896294615,490.38043212890625,506.82743691345917,264824
2020-02-21,486.1387634277344,491.50569077565376,480.94497299438694,485.70594755828876,313112
2020-02-24,463.1996154785156,471.76939255017464,454.8895702479207,463.6324314349837,487474
2020-02-25,454.02392578125,466.66213022707984,451.4270301142457,464.84432439376786,411287
2020-02-26,458.7848815917969,462.3339510516527,440.26036524111055,449.5226102079599,361130
2020-02-27,442.9438171386719,450.12855074726616,436.4515784259709,448.3972870905459,456254
2020-02-28,437.8365478515625,441.12596449651426,419.18219338491355,426.79974255335367,551446
2020-03-02,436.7978210449219,451.85980940847367,423.7700463219377,447.79132929336515,387808
2020-03-03,443.2034912109375,453.15825712680817,438.70219518653175,441.4722275733948,396871
2020-03-04,444.5885314941406,449.0032859717896,438.0963185328048,446.6660692287965,272602
2020-03-05,434.1143798828125,449.17639545301495,432.9890690261827,448.48384769449564,303108
