Price,Close,High,Low,Open,Volume
Ticker,RMS.PA,RMS.PA,RMS.PA,RMS.PA,RMS.PA
Date,,,,,
2020-01-02,640.6859741210938,644.3142883994641,636.1028372285341,640.4949979427064,42679
2020-01-03,644.8873291015625,644.8873291015625,637.0577706478443,638.9674162083728,33911
2020-01-06,639.5402221679688,643.168536712074,632.8564633791293,642.2137140279541,44451
2020-01-07,647.560791015625,650.4252592227618,642.2137487289833,642.2137487289833,50766
2020-01-08,653.2897338867188,653.6716280181253,643.9324826398065,645.0782233117814,34952
2020-01-09,655.9634399414062,659.9737084350309,653.6718412942566,658.827909111456,51499
2020-01-10,657.872802734375,660.164400394622,654.0535121524628,657.6818265497295,49268
2020-01-13,658.4457397460938,661.6921603808538,653.8626022388337,658.4457397460938,43295
2020-01-14,667.9939575195312,667.9939575195312,653.8625927938738,659.7825053658769,60596
2020-01-15,676.58740234375,677.5422251290377,667.9939972761608,667.9939972761608,65339
2020-01-16,679.8338623046875,681.1706375922338,676.58744133651,679.2609919116027,51212
2020-01-17,692.8192138671875,692.8192138671875,683.6529407657827,683.6529407657827,60837
2020-01-20,684.6078491210938,690.7187374731633,682.8891799838713,687.6632932971286,46970
2020-01-21,677.1602172851562,679.0698625350988,664.5565469799863,677.9240637295836,85180
2020-01-22,679.0699462890625,683.0802134641027,677.3512770076895,678.8789700849643,58102
2020-01-23,672.3861694335938,679.0699284572323,669.1397488824392,672.0042170354271,93264
2020-01-24,678.8789672851562,683.4621047758342,674.868700126655,676.5873694009398,57434
2020-01-27,649.6614379882812,664.5566499343271,641.4499271747374,663.601827161433,155727
2020-01-28,655.581298828125,657.6819206041343,643.9325075096108,651.1891373419073,83361
2020-01-29,658.82763671875,663.7927262162385,652.9077245593503,656.1541449209486,63587
2020-01-30,646.7970581054688,657.1091338071332,646.7970581054688,651.1892201502146,78214
2020-01-31,646.0330810546875,650.0433484571153,642.59574229704,649.2795018751668,90095
2020-02-03,648.1337280273438,650.9981965291832,641.068074022796,646.2240823594507,71237
2020-02-04,660.7373657226562,662.2650588640911,650.8071854700567,652.3349368892492,69065
