Price,Close,High,Low,Open,Volume
Ticker,1913.HK,1913.HK,1913.HK,1913.HK,1913.HK
Date,,,,,
2020-01-02,29.322935104370117,30.197558478249967,29.230869023957915,29.921361993027787,644378
2020-01-03,28.356246948242188,29.322938262668504,28.126082600428486,28.8626095670411,1583310
2020-01-06,27.48162078857422,27.987981601764897,26.975258219369096,27.987981601764897,1808760
2020-01-07,27.48162078857422,29.32293539074315,27.48162078857422,27.527652951222663,362100
2020-01-08,27.251455307006836,28.034014330927054,26.88319275340155,27.15938922960192,647586
2020-01-09,26.975257873535156,27.665750840496102,26.514929228894527,27.29748827598648,1918743
2020-01-10,26.238733291625977,27.205422763122204,25.640306392318102,27.205422763122204,736740
2020-01-13,26.791126251220703,27.067322723041954,26.23873155156386,26.23873155156386,826589
2020-01-14,27.021291732788086,27.11335781271869,26.468897009218896,26.69906133103819,650737
2020-01-15,26.238733291625977,27.205422763122204,25.91650288245575,27.205422763122204,6253600
2020-01-16,26.65302848815918,26.65302848815918,25.824435545966747,26.65302848815918,1588897
2020-01-17,26.514928817749023,26.606994896452438,26.054600180246336,26.42286449506,263759
2020-01-20,27.895915985107422,28.908639384371853,26.69906217616776,26.69906217616776,2670900
2020-01-21,27.343521118164062,28.54037484473091,27.113356804900103,27.75781582843058,643000
2020-01-22,28.540376663208008,29.461033974924394,27.02129245007886,27.159390695633427,1044850
2020-01-23,28.90863800048828,30.56582214432125,28.034014645367407,30.105493508147823,1077001
2020-01-24,29.00070571899414,29.138803966453118,27.98798231093748,28.678475304246863,547000
2020-01-29,27.205421447753906,28.126078711718698,27.159389286961417,28.126078711718698,1025650
2020-01-30,27.389554977416992,27.66575146806079,27.113358486773194,27.251456732095093,1000500
2020-01-31,27.573688507080078,27.80385284601726,27.205424159968953,27.251458081365115,1208295
2020-02-03,26.69906234741211,27.43558750286596,26.69906234741211,26.791128430847465,1671093
2020-02-04,26.791126251220703,27.25145487493235,26.606994099330308,26.699060175275505,617624
2020-02-05,26.745092391967773,27.527651405140265,25.87046905866916,26.376829843420236,1146167
2020-02-06,26.65302848815918,27.159389280819557,26.65302848815918,26.88319280409833,369200
2020-02-07,26.330799102783203,27.113358158141452,26.10063477803163,26.69906167118284,889080
2020-02-10,25.36410903930664,25.96253771570131,24.857748204219096,25.916503795047745,536085
2020-02-11,25.87047004699707,26.146666529955656,25.27204316324386,25.27204316324386,293700
2020-02-12,26.05459976196289,26.19269975580814,25.778403286301124,25.916501524132006,561100
2020-02-13,26.60699462890625,27.435585816876323,26.5149285511286,27.435585816876323,354700
2020-02-14,26.791126251220703,27.389553110842975,26.653028015310078,27.389553110842975,575200
